KR_38	KR_50	KR_51	KR_53	KR_56	KR_57	KR_61	KR_64	KR_08	KR_13	KR_14	KR_15	KR_18	KR_19	KR_21	KR_23	KR_24	KR_25	KR_26	KR_27	KR_28	KR_33	KR_35	KR_48	KR_52
AC005480.1	1.249	0.639	1.931	0.579	0.985	0.96	0.86	1.837	0.116	0.264	0.15	0.252	0.634	0.094	0.72	0.408	0.346	1.162	0.638	0.248	0.815	0.855	0.359	0.234	0.076
AC005779.2	0.479	0.188	0.395	0.218	0.397	0.433	0.139	0.245	0.23	0.246	0.22	0.272	0.315	0.519	0.704	0.328	0.786	1.181	0.174	0.195	0.154	0.108	0.141	0.12	0.185
AC006116.20	2.673	2.759	9.226	4.416	3.25	4.921	2.889	4.621	0.568	1.099	1.057	0.988	0.516	0.784	3.91	2.648	1.9	2.901	1.44	1.533	2.119	1.265	2.236	0.673	0.609
AC006157.1	0.456	0	0	0	0.451	0	0.049	0.494	0	0	0.496	0.643	0	0	0	0	0.42	0	0	0.574	0	0	0.726	0	0
AC006157.2	0.694	0	0	0	0.188	0	0.567	0.494	0	0	0.374	0.282	0	0	0	0	0.417	0	0	0	0	0	0.488	0	0.883
AC006386.1	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.065	0.023	0	0	0	0	0	0
AC006449.2	7.053	2.611	4.599	6.314	3.719	5.277	3.765	5.719	2.702	1.369	0.825	2.294	1.076	5.978	3.978	10.658	3.343	5.994	2.155	2.157	2.398	3.086	5.238	2.227	2.097
AC006486.9	1.03	0.498	1.432	0.401	0.874	0.643	0.743	0.818	0.459	0.227	0.249	0.534	1.038	1.287	1.569	1.597	1.539	4.714	0.859	0.176	0.235	0.561	0	0.464	0.912
AC006538.4	0	0	0.655	0	0.019	0.193	0.441	0.503	0	0.031	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0
AC006547.14	0.246	0.267	0.646	0.203	0.26	0.328	0.147	0.147	0.017	0.165	0.151	0.068	0.082	0.642	0.899	0.484	0.472	0.389	0.124	0.102	0.207	0.229	0.049	0.046	0.186
AC006994.4	0.011	0	0	0	0	0	0.011	0	0.012	0.026	0.029	0	0	0.027	0	0.048	0	0	0	0	0	0.016	0.076	0	0
AC007040.11	0.255	0.239	0.418	0.104	0.17	0.273	0.078	0.026	0	0.016	0	0.072	0.191	0.086	0.398	0.112	0.031	0.413	0.106	0.028	0.12	0.034	0.057	0	0
AC007163.2	0	0.189	0	0.173	0.432	0.182	0.084	0	0	0	0	0.084	0.079	0.204	0.929	0	0.17	0	0	0.096	0	0	0	0.167	0
AC007325.1	0	0	0.013	0	0	0.004	0	0.006	0	0	0	0.022	0	0	0	0	0	0.017	0	0	0.005	0.003	0	0	0
AC007326.1	7.353	2.53	2.331	4.775	3.892	5.415	6.022	6.819	1.055	2.715	0.222	0	1.166	3.05	5.571	1.184	3.151	3.987	3.646	0	2.56	2.232	3.222	1.201	0.44
AC007379.1	0.014	0	0	0	0.007	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007557.5	0.602	0	0	0.148	0.122	0	0.75	0	0	0	0	0	0	0	0	0.901	0.262	0.488	0	0	0.406	0	0.202	0	0
AC008074.1	0.675	0.374	0.563	0.245	0.461	0.581	0.483	0.443	0.114	0.196	0.289	0.414	0.27	0.872	0.341	0.313	0.348	1.208	0.482	0.405	0.272	0.357	0.706	0.129	0.39
AC008686.1	0.284	0.157	0.25	0.181	0.094	0.345	0.052	0.331	0.155	0	0	0	0	0	0	0	0	0.385	0	0.348	0.081	0	0.086	0.085	0.104
AC008759.1	0	0	0	0	0.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008810.1	14	7.456	21.457	13.231	8.989	17.843	15.252	18.593	3.329	5.628	7.791	8.377	8.008	7.863	10.233	9.838	7.384	15.789	9.299	15.472	8.361	8.902	18.117	4.727	3.932
AC008914.1	0	0.126	0	0	0.133	0	0.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009022.1	2.835	1.66	6.778	4.563	6.586	8.954	3.067	6.883	3.768	1.126	0	1.013	0	5.641	0	3.625	0	0	5.11	0	4.049	5.643	14.296	0	5.166
AC009060.2	25.231	13.643	30.23	27.322	17.176	32.972	22.322	34.368	9.303	10.8	9.719	12.026	10.83	13.755	15.764	20.631	8.505	32.201	23.53	16.858	16.614	14.831	31.026	5.127	7.477
AC009133.22	0	0	0	0	0	0	0	0.107	0.039	0	0.146	0.376	0.066	0.191	0	0	0	0	0.019	0	0.118	0	0	0	0
AC009336.19	0	0.007	0	0	0.025	0.009	0	0	0	0	0	0.021	0.005	0	0	0	0.019	0	0.011	0	0.009	0.006	0	0	0.006
AC009491.2	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009977.1	0	0	0	0	0	0	0.118	0	0.388	0	0	0	0	0	0.269	0	0	0	0	0	0	0	0	0	0
AC010287.1	4.483	4.417	7.716	5.459	5.086	6.592	5.462	8.143	1.561	2.359	2.137	2.807	3.008	3.024	4.063	2.194	1.794	5.21	3.988	6.287	3.045	3.36	7.446	1.324	1.111
AC010642.1	5.057	4.032	7.799	5.003	3.701	6.056	4.653	5.778	2.09	2.558	2.425	1.885	2.075	6.276	5.558	6.563	5.666	7.607	1.84	3.693	3.474	3.137	3.915	1.656	2.347
AC010646.3	0.771	0.401	0.588	0.932	0.581	1.003	0.467	0.671	0.217	0.296	0.133	0.289	0.25	0.517	0.615	0.827	0.613	0.569	0.326	0.127	0.445	0.264	0.565	0.212	0.207
AC010722.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0	0	0	0	0	0	0	0
AC010879.1	0	0	0	0	0	0	0	0	0	0	0	0.421	0	0	0	0	0	0	0	0	0	0	0.354	0	0.179
AC010879.2	0	0.104	0	0.092	0	0	0	0.004	0.071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010889.2	0.213	0.005	0.009	0.013	0	0.009	0.094	0	0.002	0.005	0	0	0.005	0	0.005	0	0	0	0.01	0.06	0.006	0	0.07	0.002	0
AC011043.1	2.472	2.617	5.375	2.381	2.902	2.46	1.68	12.357	0.142	1.514	3.085	0.669	1.271	1.642	0.538	2.044	4.265	6.685	0.788	0.364	1.941	1.488	0.321	1.476	0.312
AC011043.2	0.178	0.127	0.135	0.052	0.049	0.152	0.081	0.034	0	0.033	0.069	0	0.04	0	0	0	0.127	0.11	0.151	0.044	0	0.078	0	0.03	0.053
AC011155.1	0.673	0.656	0.297	0	12.808	2.608	0.21	0.977	0	2.394	0	0.253	0	3.525	0.405	0.714	0	0	0	0	0.533	0	0	0	1.565
AC011530.4	0	0	0	0	0.02	0	0.025	0	0	0	0	0.055	0	0	0	0	0	0	0.026	0.315	0	0.051	0	0	0.042
AC011841.1	0.178	0.127	0.135	0.052	0.049	0.152	0.081	0.034	0	0.033	0.069	0	0.04	0	0	0	0.127	0.11	0.151	0.044	0	0.078	0	0.03	0.053
AC012005.3	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0.065	0.023	0	0	0	0	0	0
AC013269.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0
AC013412.1	0	0	0	0	0	0	0	0.095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC015688.3	0.542	0.353	0.433	0.601	1.206	1.43	0.314	1.114	0.95	0.733	0.05	0.801	0	1.452	0	1.53	0.999	0.504	0.989	0	0.525	0.526	0.599	1.417	0.865
AC016142.1	1.12	0.872	1.669	1.298	1.07	1.371	1.24	1.451	0.66	0.907	0.52	0.735	0.848	1.975	1.72	0.621	0.777	2.162	0.902	1.161	0.981	0.692	1.073	0.415	0.506
AC016577.1	0.194	0.185	0.3	0.403	0.442	0.185	0.373	0	0	0	1.033	0	0.212	0.378	0.388	0	0.273	0.736	0.219	0.942	0.232	0.258	0	0	0
AC017028.10	1.99	0.808	4.362	1.331	1.714	1.303	0.452	0.682	0.248	0.517	0.178	0.174	0.168	0.25	1.399	0.562	0.539	0.989	0.394	0.328	0.283	0.409	0.174	0.477	0.481
AC017081.1	5.178	2.554	7.044	5.303	3.056	5.1	3.278	5.948	1.605	1.324	1.882	2.543	0.926	4.188	4.471	3.013	3.572	3.819	7.126	2.2	2.188	1.122	2.941	2.196	1.09
AC019206.1	0.829	1.045	0.544	1.439	0.679	0.746	0.371	0	0	0.34	0	1.213	0.42	0	0.637	0	0.496	0	2.172	0	0	0	0	0	0
AC022431.2	0.051	0.013	0.114	0.032	0.026	0.105	0.049	0	0.098	0.095	0	0.043	0	0	0	0	0.085	0	0.019	0.053	0.066	0.023	0.063	0.038	0
AC022486.2	0.014	0	0	0	0.007	0	0	0	0	0	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC023491.2	0.043	0	0.019	0.031	0.026	0.012	0	0.016	0	0.019	0.012	0	0	0.013	0	0	0	0	0.021	0	0.047	0.045	0	0.014	0.008
AC024592.12	0.514	0.455	0.838	0.593	0.378	0.738	0.417	0.35	0.126	0.482	0.16	0.204	0.166	0.883	2.055	0.785	0.796	0.751	0.114	0.457	0.539	0.038	0.434	0.218	0.307
AC025263.3	0.128	0.062	0.187	0.04	0.141	0.262	0	0.429	0.062	0.341	0.189	0.024	0	0.194	0.024	0	0.04	0.048	0.14	0.673	0	0.032	0.226	0.154	0.138
AC037459.4	0.1	0.039	0	0	0	0	0	0	0	0	0.027	0.091	0.095	0.059	0.059	0.043	0.183	0	0.18	0.104	0.027	0.027	0	0	0
AC044839.1	0.018	0.026	0.048	0.017	0.014	0.072	0.051	0.149	0.016	0.108	0	0	0	0.128	0.082	0.1	0.032	0	0.02	0	0.085	0	0.062	0.024	0.046
AC055733.1	0.282	0	0.393	0	0.068	0	0	0	0	0	0.077	0	0	0	0	0	0	0.758	0.62	0	0	0.176	0	0.126	0
AC064829.1	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC068533.7	2.374	1.581	3.583	2.523	2.234	2.927	1.598	2.934	1.587	1.315	0.973	1.054	2.033	3.893	2.717	3.991	3.252	3.314	2.002	1.227	0.935	1.323	1.221	1.15	0.876
AC069063.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.493	0	0	0	0	0	0
AC069368.3	0.853	0.562	0.909	0.616	0.537	0.872	0.663	0.393	0.348	0.531	0.121	2.149	0.911	1.783	1.574	0.875	0.549	1.916	1.185	0.542	0.461	0.412	0.13	0.364	0.776
AC069547.1	2.696	0.075	4.536	2.328	2.855	3.297	2.727	3.95	0	0.548	1.499	2.584	1.83	2.308	2.17	2.032	0.99	4.776	2.715	0	1.437	1.909	2.778	0.75	1.533
AC073107.1	0	0.143	0.254	0.148	0.129	0	0	0	0	0	0.192	0	0.071	0	0.34	0	0	0	0	0.023	0	0.085	0.053	0.078	0
AC073333.1	28.616	12.169	29.803	22.308	20.374	27.168	22.585	30.196	6.98	10.299	8.415	12.086	10.645	12.464	14.007	13.837	5.608	24.224	23.501	16.922	15.498	14.575	18.921	4.234	7.973
AC073657.1	0	0	0	0	0	0	0.536	0	0	0.457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC079355.1	0	0	0.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC087762.1	0.059	0.018	0.008	0.006	0.024	0.025	0.023	0	0	0.013	0	0.015	0	0.029	0	0	0	0.02	0	0	0	0	0.007	0.009	0.023
AC090154.1	15.918	0.506	10.216	4.224	6.59	4.072	8.771	24.718	0	0	0	0	1.069	0	4.219	0	1.062	0	2.658	0	1.313	2.692	0	1.05	0
AC092159.1	0.103	0.214	0.14	0.033	0	0.036	0.1	0.097	0.037	0.041	0	0.048	0	0	0.076	0	0	0.217	0	0	0	0.05	0.047	0.115	0
AC092835.2	4.147	2.303	4.86	3.017	2.723	5.277	4.056	5.102	1.771	1.61	1.929	0.817	1.294	1.463	2.106	2.729	2.802	2.52	1.212	1.134	1.802	2.04	2.258	1.261	1.667
AC092881.1	4.843	3.554	6.689	4.715	4.485	5.254	5.553	7.327	2.066	2.534	3.848	3.66	3.011	3.964	5.182	3.387	2.866	8.224	4.069	3.527	2.8	3.082	3.44	1.686	2.297
AC093323.1	1.04	0.343	0.774	0.266	0.499	0.851	0.58	0.798	0.353	0.244	0.332	0.094	0.134	0.372	0.357	0.165	0.069	0.66	0.65	0.415	0.35	0.622	0.637	0.139	0.218
AC104057.1	0.241	0	0	0	0	0.152	0	0.112	0.091	0.108	0	0	0	0.268	0	0.122	0	0.146	0.064	0	0.088	0	0	0	0.03
AC104073.2	0	0.067	0	0	0	0	0.129	0.124	0.023	0	0.033	0.076	0.016	0.106	0	0	0.025	0.072	0	0.069	0.045	0.083	0.053	0.031	0.015
AC104532.2	0	0.462	1.07	0.65	0.31	0.031	0.59	0.654	0.861	0.583	0.367	0.264	0.263	0.413	0.414	1.826	0	0.948	0	0.902	0.351	0.22	1.649	0.95	1.024
AC104534.3	0.191	0	0	0	0	0	0	0	0.336	0.317	0	0.16	0	0.395	0	0.25	0.452	0.669	0	0	0.158	0	0.416	0	0
AC104809.3	0.203	0	0.176	0.018	0.047	0.002	0.082	0.143	0.016	0.038	0	0.004	0.057	0.122	0.053	0.006	0.012	0.161	0.13	0	0.004	0.004	0	0.012	0.003
AC104981.1	1.12	0.872	1.669	1.298	1.07	1.371	1.24	1.451	0.66	0.907	0.52	0.735	0.848	1.975	1.72	0.621	0.777	2.162	0.902	1.161	0.981	0.692	1.073	0.415	0.506
AC108925.1	0	0	0.191	0.242	0	0	0	0.175	0	0	0.159	0	0.163	0	0	0.886	0	0.43	0	0	0	0	0	0.209	0
AC108938.5	2.086	1.189	2.043	2.007	0.674	0.625	1.137	0.805	0.852	0.124	0.614	1.194	1.668	1.729	1.769	1.816	2.16	3.481	0.728	0.404	0.834	1.021	0.81	0.365	0.395
AC109829.1	0.105	0.052	0.377	0.167	0.135	0.218	0.287	0.319	0.056	0.102	0.139	0.047	0.062	0.041	0.159	0.038	0.183	0.057	0.097	0	0.116	0.072	0	0.055	0.16
AC114494.1	1.131	0.732	1.197	1.274	0.992	1.131	0.774	0.924	0.239	0.267	0.17	0.192	0.336	0.683	1.251	0.703	0.411	1.717	0.347	0.138	0.424	0.29	0.291	0.23	0.147
AC118758.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063	0.101	0	0	0.032	0	0	0	0	0	0
AC124312.1	1.37	0.518	1.007	0.664	1.253	1.134	1.174	1.51	0.585	0.272	0.312	0.359	0.042	0.422	1.132	0.281	0.749	0.231	0.403	0.439	0.186	1.135	0.585	0.16	0.208
AC129492.1	0	0.02	0.201	0	0.111	0.019	0	0	0	0.572	0	0	0.041	0.229	0.338	0	0	0	0	0	0.466	0	0	0.013	0.024
AC133551.1	0	0.019	0	0.034	0.034	0.005	0.007	0.054	0	0	0	0	0	0.022	0	0	0.041	0	0	0.015	0	0	0	0	0
AC135068.1	0.011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC136352.7	0	0	0.039	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0.05	0.128	0	0	0.001	0	0	0	0
AC136612.1	0.116	0.003	0.165	0	0.023	0.046	0	0.009	0	0	0	0	0	0	0	0	0	0.034	0.018	0	0	0	0	0	0
AC136616.1	0.353	0.424	0.077	0.331	0.184	0.66	0.116	0.844	0.257	0.287	0.126	0.047	0.02	0.096	0.146	0.217	0.083	0.076	0.032	0.031	0.21	0.197	0.156	0.128	0.097
AC136616.2	0	0	0	0	66.64	0	0	0.087	0	0.511	0	0.161	0.302	0	0	0	0	0	0	0	0.039	0	0	0	6.227
AC136616.3	0	0	0	0	0.526	0.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC141272.1	0	0	0	0	1.195	0	0	0	0	0	0	1.831	1.008	0	0	0	0	0	1.037	0	0.59	0	0	0	1.523
AC145212.2	3.848	3.041	3.88	2.135	1.033	4.055	0.803	7.425	0.309	0.941	1.073	0.803	1.995	1.237	2.129	3.957	1.382	4.151	3.067	1.433	1.545	2.782	1.431	0.82	1.998
AC171558.1	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0
AC213203.1	0	0	0	0.007	0	0	0	0	0.026	0.015	0	0	0	0.084	0	0.053	0.025	0	0	0	0	0	0	0	0
AC231657.1	1.595	1.05	0.707	0.251	1.406	1.871	0.639	1.936	0.146	0.185	0.497	0.313	0.307	0.28	0	0.461	0.404	0.377	0.446	0.77	0.83	0.917	0.156	0.062	0.617
AC233755.1	0	0	0	0	80.932	0.093	0	0	0	0	0	0.482	0.069	0.36	0.949	0	0	0	0.293	0.249	1.088	0	0	0	1.761
AC233755.2	0.09	0	0	0	41.657	0.023	0	0.131	0	0	0	0.566	0.07	0	0	0	1.01	0	0.104	0	0	0	0	0	0.021
AC234582.1	0.171	0.563	0.151	0	0.093	0	0.443	0	1.187	3.779	0.195	5.075	8.6	7.992	27.441	21.626	14.811	47.907	0	1.678	0.527	1.767	0.309	13.736	0.391
AC234582.2	0	0	0	0	0	0	0	0	0	0.021	0.124	0	0	0.346	0.171	0	0.318	1.701	0	0	0	0.043	0	0	0
AC240274.1	8.94	5.684	17.707	11.032	4.674	11.777	8.935	5.808	1.95	2.697	3.798	0.788	2.048	11.379	6.352	6.885	7.882	8.489	2.402	2.574	4.762	3.33	5.888	2.575	5.42
AC242988.1	0.313	0.361	0	0.308	0.127	0.5	0.468	1.146	0.512	0.193	0	0.647	0.194	0	0	0	0	0	0.723	0.252	0.211	0	0	0	0
AC243945.1	0	0.204	0.691	0.312	0	0.244	0.253	0	0	0	0.19	0	0	0.206	0	0.245	0	0.866	0.16	0.113	0	0.088	0	0	0
AC244230.1	0.231	0.153	0.336	0.379	0.022	0.189	0.084	0	0	0	0	0	0.109	0.025	0.14	0.256	0.13	0.309	0	0.07	0.282	0.034	0	0.179	0.026
AC253572.1	0.244	0.247	1.308	0.842	0.078	0.232	0.588	0.56	0.197	0.446	0.216	0.206	0.373	0.291	1.238	0.265	0.306	2.179	0.085	0.074	0	0	0.108	0	0.113
ACAA1	14.839	8.716	19.746	12.689	10.26	16.886	14.595	13.578	6.866	7.481	5.987	9.885	9.499	19.204	21.231	23.003	23.949	30.203	8.005	9.173	8.325	7.931	10.228	7.748	8.848
ACAA2	7.645	3.267	18.627	5.238	7.647	4.628	7.145	4.927	3.982	5.568	6.685	8.14	5.666	21.593	18.574	15.744	22.435	24.646	10.758	12.473	6.754	5.97	2.871	3.406	5.599
ACACA	57.153	31.43	82.007	52.725	20.938	52.274	53.223	70.886	16.14	16.901	20.941	18.06	15.941	56.147	24.202	45.969	37.665	77.076	14.197	22.872	29.51	31.422	32.741	15.002	17.856
ACACB	6.954	6.325	8.607	9.602	4.647	9.285	5.818	8.018	1.67	2.016	1.711	0.97	1.265	3.339	2.199	3.945	3.191	4.326	1.921	1.503	3.201	2.585	4.269	1.882	2.138
ACAD10	14.492	8.968	17.529	13.611	9.989	15.744	10.009	14.417	3.747	3.376	3.593	4.038	5.513	8.162	10.594	10.053	6.778	10.144	7.236	4.31	6.909	5.315	7.46	3.099	4.353
ACAD11	6.995	5.036	14.76	5.889	8.74	6.63	7.032	5.896	3.238	3.522	4.557	4.604	5.059	11.067	11.799	12.454	8.153	14.125	5.458	5.096	6.383	7.758	2.647	2.729	4.62
ACAD8	12.206	7.714	19.325	9.871	8.288	13.25	9.061	11.071	3.184	4.264	4.41	4.067	5.897	10.533	11.161	12.655	9.512	16.595	7.424	3.669	6.182	7.11	5.924	4.179	5.297
ACAD9	16.77	10.606	26.764	17.158	10.356	18.868	13.741	17.445	5.757	7.72	6.335	8.186	10.3	16.509	14.556	17.533	15.608	24.818	8.655	10.814	10.582	9.772	11.323	5.666	7.894
ACADL	0.192	0.165	0.194	0.162	0.011	0.309	0.517	0.406	0.105	0.795	0.207	0.06	0.053	1.613	0.599	0.216	1.469	0.166	0.228	0.085	0.377	0.21	0.113	0.111	0.398
ACADM	23.486	14.883	19.845	26.16	17.381	30.945	20.639	36.924	14.607	11.764	16.778	10.378	9.343	30.632	24.007	32.168	28.431	27.493	13.872	12.818	11.229	12.13	14.398	9.038	15.133
ACADS	1.782	1.417	3.007	2.438	1.7	2.693	1.566	2.326	1.394	1.183	0.984	1.333	1.325	4.129	3.793	2.92	3.251	3.649	1.078	1.468	1.639	1.245	2.173	0.918	1.611
ACADSB	10.757	6.373	15.613	12.993	9.751	13.092	8.436	17.633	6.592	7.169	4.57	2.565	2.908	15.614	12.411	12.084	10.818	13.39	4.91	6.419	7.648	8.217	9.883	5.318	6.17
ACADVL	92.152	31.386	146.133	64.338	51.259	73.498	57.721	65.311	15.907	21.258	27.708	27.47	25.872	89.305	76.525	151.059	93.717	133.301	30.051	69.13	31.086	22.893	44.032	20.336	27.571
ACAN	1.514	0.019	0.066	0.007	0.119	0.003	0.16	0.039	0.001	0.005	0.003	0.273	0.036	0.198	0.565	0.158	0.717	0.227	0.086	0.291	0.768	0.184	0.004	0.004	0.09
ACAP1	2.039	1.233	4.382	1.131	3.576	1.925	1.435	1.629	1.523	1.476	1.33	4.839	4.341	4.415	7.594	3.155	1.966	7.012	4.032	1.376	1.769	1.385	0.999	1.69	1.768
ACAP2	53.255	41.118	72.707	70.316	44.225	70.659	57.455	100.156	33.987	37.195	35.045	37.926	30.643	68.239	49.396	64.477	44.096	82.95	47.283	36.89	33.993	35.93	61.82	25.265	31.918
ACAP3	20.686	11.642	23.563	14.663	11.239	17.739	9.678	13.782	3.5	3.401	4.507	3.147	4.965	21.281	22.598	25.154	17.19	26.662	3.468	8.495	11.04	5.622	11.214	3.456	4.15
ACAT1	12.618	11.782	11.355	16.97	9.066	16.824	12.473	20.653	8.23	6.38	7.146	5.702	4.252	16.339	9.484	13.745	12.538	14.306	11.098	7.261	8.809	6.664	12.722	4.538	6.634
ACAT2	23.954	10.497	33.946	17.531	4.981	12.299	28.925	18.132	10.002	9.568	12.967	13	3.65	57.71	10.498	45.007	32.287	55.392	6.316	9.293	7.048	7.7	5.892	9.057	10.129
ACBD3	14.253	10.597	23.479	13.075	11.109	14.272	15.267	18.815	8.859	8.487	8.932	12.553	9.51	35.105	32.139	24.634	30.384	37.628	12.9	11.673	9.22	10.703	9.801	6.903	7.607
ACBD4	2.137	1.714	2.218	2.382	2.433	2.661	1.339	2.736	1.198	1.049	0.543	0.455	0.496	2.502	1.846	3.2	2.23	1.463	0.71	0.817	1.233	0.63	1.874	0.725	1.013
ACBD5	10.828	7.888	17.096	12.731	10.021	14.826	10.026	15.111	7.528	7.193	5.803	6.465	6.461	16.574	15.833	15.481	14.759	13.744	8.665	5.334	6.011	6.41	8.356	7.265	5.058
ACBD7	0.621	0.264	0.438	0.516	0.32	0.768	0.318	0.965	0.127	0.96	0.264	0.178	0.086	1.012	0.588	0.789	0.643	0.451	0.226	0.389	0.398	0.299	0.506	0.264	0.474
ACCS	13.192	7.789	14.732	14.137	10.991	11.168	10.287	12.089	2.532	2.653	2.914	2.236	2.374	6.777	11.461	10.2	5.636	12.393	4.883	3.012	8.625	5.572	4.447	1.869	2.143
ACCSL	0.03	0.054	0.115	0.104	0.014	0.076	0.041	0.051	0.006	0	0.015	0.008	0.014	0.015	0.014	0.037	0.022	0.02	0.007	0	0.086	0.058	0.008	0.023	0.023
ACD	3.567	1.633	4.164	2.614	2.145	2.479	1.34	2.772	0.9	1.079	0.913	1.482	1.376	4.15	3.685	3.242	3.432	3.997	1.364	2.054	1.491	1.052	2.352	1.136	1.47
ACE	0.376	0.421	0.242	0.102	1.567	0.138	0.411	0.088	0.006	0.093	0.307	2.049	2.12	1.91	2.957	0.421	1.036	1.547	5.421	0.147	0.153	0.386	0.108	0.075	2.597
ACE2	8.459	5.4	13.081	8.68	7.381	10.216	8.482	8.947	8.463	4.657	5.389	4.42	1.115	10.317	13.69	14.934	10.028	9.018	4.873	3.356	7.066	7.251	2.671	6.146	4.15
ACER1	0.158	0.159	0.216	0.056	0.023	0.106	0.071	0.103	0.007	0.117	0.027	0.027	0.132	0.035	0.034	0.014	0.17	0.144	0.032	0.033	0.073	0.029	0.009	0.069	0.067
ACER2	0.897	0.924	3.432	0.748	1.063	1.421	1.292	1.158	0.449	1.83	0.47	0.865	0.516	2.139	2.299	1.35	2.418	1.573	0.801	0.765	0.351	0.621	0.867	0.735	0.445
ACER3	13.042	9.097	20.365	9.788	8.448	13.706	13.399	20.558	7.207	8.52	9.394	11.762	12.449	23.851	12.923	19.105	18.77	33.926	13.354	8.066	7.029	8.075	8.288	6.169	11.326
ACHE	0.117	0.067	0.214	0.041	0.09	0.102	0.047	0.06	0.021	0.094	0.041	0.166	0.248	0.338	0.567	0.196	0.23	0.955	0.3	0.086	0.078	0.097	0.041	0.124	0.148
ACIN1	27.407	16.21	43.242	23.366	22.082	29.214	24.588	29.188	9.663	11.194	8.112	14.375	15.274	42.997	37.697	36.133	37.955	56.574	15.907	20.424	14.455	13.562	14.983	8.477	12.224
ACKR1	1.346	1.403	0	0.053	0.725	0.441	0.143	0.018	0.077	0.038	0.019	0.117	0.362	0.097	0.966	0.202	0.599	0.5	0.337	0.268	0.52	0.049	0.007	0.096	0.901
ACKR2	0.942	0.53	2.849	0.857	1.114	1.083	0.541	1.284	0.352	0.42	0.329	0.934	0.546	0.29	2.369	0.456	0.421	1.334	0.731	0.321	0.6	0.545	0.507	0.417	0.326
ACKR3	16.017	4.638	34.155	1.733	6.946	4.38	14.362	4.535	1.257	1.875	5.156	5.495	6.529	12.509	34.204	21.276	25.133	35.543	13.556	7.962	4.328	4.909	1.461	2.9	4.001
ACKR4	1.734	4.81	1.786	0.531	3.547	0.451	1.215	0.715	0.218	0.608	1.684	2.546	3.141	3.06	11.993	1.83	5.355	7.719	0.418	1.899	6.242	5.822	0.57	1.028	1.002
ACLY	27.459	13.622	54.517	15.949	10.965	20.389	18.959	19.807	6.994	10.306	10.594	13.239	10.282	55.924	30.129	33.078	42.058	64.702	9.783	12.64	11.545	14.129	13.846	8.141	10.036
ACMSD	0.666	0.324	1.146	0.406	0.363	0.426	0.558	1.034	0.107	0.11	0.219	0.412	0.234	0.224	0.513	0.188	0.139	0.626	0.26	0.369	0.449	0.555	0.391	0.075	0.359
ACN9	5.665	3.104	7.655	9.418	4.093	8.02	3.693	11.182	3.395	6.598	4.893	2.616	2.412	8.357	8.243	9.739	6.735	5.739	4.648	2.678	3.715	3.183	4.422	3.33	4.116
ACO1	6.369	5.374	12.617	5.081	5.58	8.462	6.251	7.699	2.571	2.668	3.355	4.144	4.182	9.975	11.621	9.02	11.115	17.917	11.734	3.801	4.515	4.27	4.833	1.934	5.277
ACO2	15.631	8.933	22.45	14.494	12.053	17.486	9.116	12.433	4.695	5.924	3.994	7.113	8.343	20.267	17.771	14.299	17.129	22.864	6.894	9.119	7.625	7.016	10.681	4.887	6.431
ACOT1	1.232	0.896	1.405	1.212	0.363	1.042	1.062	1.883	0.469	0.725	0.339	0.327	0.213	1.208	1.093	1.863	1.257	0.61	1.291	0.406	0.7	0.356	0.518	0.354	1.183
ACOT11	4.139	2.627	5.338	3.475	3.202	3.917	2.659	4.742	1.11	1.516	1.48	0.736	1.857	2.357	2.725	3.081	2.646	4.406	1.294	2.078	2.248	1.725	2.572	0.782	1.638
ACOT12	0.122	0.042	0.037	0.083	0.064	0.047	0.079	0.118	0.019	0.007	0	0.034	0	0	0.058	0	0.134	0	0.091	0.02	0.096	0.037	0.029	0.02	0.208
